CPU User Time (s),CPU System Time (s),Memory Used (MiB),Memory Total (MiB),GPU Usage (%),GPU Memory Used (MiB),GPU Memory Total (MiB)
32095.72,10743.93,11371.0390625,15752.23046875,13,54,6144
32106.08,10745.74,11533.1015625,15752.23046875,28,54,6144
32116.07,10747.5,11398.91796875,15752.23046875,23,54,6144
32124.44,10748.94,11243.98828125,15752.23046875,15,54,6144
32133.23,10750.57,11339.203125,15752.23046875,5,54,6144
32142.09,10752.27,10935.2890625,15752.23046875,10,54,6144
32151.2,10754.05,11632.08203125,15752.23046875,5,54,6144
32160.36,10755.78,11846.83203125,15752.23046875,5,54,6144
32169.81,10757.68,11839.84375,15752.23046875,43,54,6144
32179.23,10759.96,11453.2890625,15752.23046875,41,54,6144
32188.98,10762.41,12009.87890625,15752.23046875,39,54,6144
32198.11,10764.62,11979.09375,15752.23046875,23,54,6144
32207.56,10767.02,12041.0546875,15752.23046875,29,54,6144
32217.36,10769.17,12283.7421875,15752.23046875,19,54,6144
32226.8,10771.04,12079.3046875,15752.23046875,15,54,6144
32234.29,10773.33,12352.109375,15752.23046875,27,54,6144
32241.65,10775.11,12405.7734375,15752.23046875,15,54,6144
32249.6,10776.94,12469.4921875,15752.23046875,22,54,6144
32257.38,10778.81,12641.38671875,15752.23046875,14,54,6144
32265.08,10780.62,12751.515625,15752.23046875,17,54,6144
32272.64,10782.66,12732.890625,15752.23046875,7,54,6144
32279.67,10784.65,12620.7265625,15752.23046875,6,54,6144
32286.81,10786.54,12855.00390625,15752.23046875,7,54,6144
32294.02,10788.31,12900.44921875,15752.23046875,9,54,6144
32302.07,10790.44,12726.8125,15752.23046875,17,54,6144
32310.95,10792.63,12848.046875,15752.23046875,25,54,6144
32318.89,10794.62,12766.578125,15752.23046875,23,54,6144
32326.19,10797.26,12754.46484375,15752.23046875,34,54,6144
32334.28,10799.63,12890.01953125,15752.23046875,23,54,6144
32341.88,10801.77,12831.25390625,15752.23046875,26,54,6144
32349.57,10803.93,12862.5,15752.23046875,40,54,6144
32357.13,10805.78,13022.12109375,15752.23046875,19,54,6144
32364.72,10807.83,12860.19140625,15752.23046875,27,54,6144
32372.26,10809.73,12854.92578125,15752.23046875,24,54,6144
32380.32,10811.51,12924.76953125,15752.23046875,21,54,6144
32388.17,10813.47,12978.25,15752.23046875,32,54,6144
32396.22,10815.51,13166.0625,15752.23046875,21,54,6144
32404.92,10817.67,13082.28515625,15752.23046875,28,54,6144
32413.43,10819.89,13081.19921875,15752.23046875,37,54,6144
32421.11,10821.97,13139.63671875,15752.23046875,20,54,6144
32428.3,10823.79,13019.50390625,15752.23046875,14,54,6144
32435.74,10825.69,13142.4140625,15752.23046875,10,54,6144
32443.15,10827.4,12992.37109375,15752.23046875,18,54,6144
32450.64,10829.12,13027.33203125,15752.23046875,12,54,6144
32458.66,10830.95,13121.328125,15752.23046875,7,54,6144
32466.6,10832.74,13111.47265625,15752.23046875,14,54,6144
32476.02,10834.72,13047.9921875,15752.23046875,19,54,6144
32484.74,10836.48,12946.625,15752.23046875,47,54,6144
32492.19,10837.81,12357.12890625,15752.23046875,13,54,6144
32500.41,10839.4,11377.5546875,15752.23046875,8,54,6144
32508.07,10841.03,11333.8828125,15752.23046875,20,54,6144
32517.99,10842.67,11504.734375,15752.23046875,44,54,6144
32526.66,10844.18,10962.6328125,15752.23046875,23,54,6144
32534.54,10845.78,11032.34375,15752.23046875,27,54,6144
32541.27,10847.36,11439.82421875,15752.23046875,36,54,6144
