CPU (User Time): 97070.5s | CPU (System Time): 24419.86s | Memória Usada: 8363.12109375 MiB de 15752.23046875 MiB | GPU: 18% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97073.38s | CPU (System Time): 24420.54s | Memória Usada: 8367.97265625 MiB de 15752.23046875 MiB | GPU: 23% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97075.83s | CPU (System Time): 24421.22s | Memória Usada: 8356.8203125 MiB de 15752.23046875 MiB | GPU: 14% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97077.99s | CPU (System Time): 24421.83s | Memória Usada: 8370.75390625 MiB de 15752.23046875 MiB | GPU: 29% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97080.14s | CPU (System Time): 24422.42s | Memória Usada: 8355.44921875 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97082.27s | CPU (System Time): 24423.0s | Memória Usada: 7453.484375 MiB de 15752.23046875 MiB | GPU: 30% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97084.54s | CPU (System Time): 24423.55s | Memória Usada: 7471.6484375 MiB de 15752.23046875 MiB | GPU: 26% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97086.61s | CPU (System Time): 24424.18s | Memória Usada: 7725.64453125 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97088.74s | CPU (System Time): 24424.83s | Memória Usada: 8045.51953125 MiB de 15752.23046875 MiB | GPU: 35% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97090.75s | CPU (System Time): 24425.46s | Memória Usada: 8032.76953125 MiB de 15752.23046875 MiB | GPU: 33% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97092.78s | CPU (System Time): 24426.08s | Memória Usada: 8191.625 MiB de 15752.23046875 MiB | GPU: 34% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97095.6s | CPU (System Time): 24426.74s | Memória Usada: 8294.3671875 MiB de 15752.23046875 MiB | GPU: 32% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97098.36s | CPU (System Time): 24427.38s | Memória Usada: 8481.84765625 MiB de 15752.23046875 MiB | GPU: 30% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97100.51s | CPU (System Time): 24428.02s | Memória Usada: 8544.3828125 MiB de 15752.23046875 MiB | GPU: 32% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97102.67s | CPU (System Time): 24428.64s | Memória Usada: 8646.95703125 MiB de 15752.23046875 MiB | GPU: 30% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97104.82s | CPU (System Time): 24429.26s | Memória Usada: 8706.671875 MiB de 15752.23046875 MiB | GPU: 33% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97107.04s | CPU (System Time): 24429.9s | Memória Usada: 8756.515625 MiB de 15752.23046875 MiB | GPU: 33% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97109.24s | CPU (System Time): 24430.57s | Memória Usada: 8634.66796875 MiB de 15752.23046875 MiB | GPU: 35% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97111.7s | CPU (System Time): 24431.17s | Memória Usada: 8775.03515625 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97113.85s | CPU (System Time): 24431.8s | Memória Usada: 8665.84765625 MiB de 15752.23046875 MiB | GPU: 34% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97116.01s | CPU (System Time): 24432.38s | Memória Usada: 8717.41796875 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97118.12s | CPU (System Time): 24433.05s | Memória Usada: 8735.421875 MiB de 15752.23046875 MiB | GPU: 33% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97120.27s | CPU (System Time): 24433.67s | Memória Usada: 8691.59765625 MiB de 15752.23046875 MiB | GPU: 32% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97122.08s | CPU (System Time): 24434.03s | Memória Usada: 7339.69921875 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97123.63s | CPU (System Time): 24434.29s | Memória Usada: 7678.99609375 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97125.8s | CPU (System Time): 24434.61s | Memória Usada: 8161.703125 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97127.74s | CPU (System Time): 24434.92s | Memória Usada: 8389.15234375 MiB de 15752.23046875 MiB | GPU: 29% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97129.53s | CPU (System Time): 24435.19s | Memória Usada: 8658.3125 MiB de 15752.23046875 MiB | GPU: 26% | GPU Memória: 54 MiB de 6144 MiB
